#time[sec] output_ch0 output_ch1
2.700000000000000090e-07 1.011569521644919645e+00 2.760080550190776791e-02
2.800000000000000191e-07 1.012949561920014840e+00 3.726108742757548720e-02
2.900000000000000292e-07 1.010189481369824227e+00 4.002116797776626017e-02
2.999999999999999864e-07 1.008809441094728809e+00 3.864112770267087021e-02
3.099999999999999966e-07 1.010189481369824227e+00 3.450100687738470728e-02
3.200000000000000067e-07 1.010189481369824227e+00 3.174092632719393431e-02
3.300000000000000168e-07 1.006049360544537974e+00 2.898084577700315093e-02
3.400000000000000270e-07 1.000529199444156525e+00 3.174092632719393431e-02
3.499999999999999842e-07 1.000529199444156525e+00 2.760080550190776791e-02
3.599999999999999943e-07 1.000529199444156525e+00 2.760080550190776791e-02
3.700000000000000044e-07 9.991491591690611074e-01 2.346068467662160151e-02
3.800000000000000146e-07 9.991491591690611074e-01 2.622076522681237795e-02
3.900000000000000247e-07 9.963890786188702720e-01 2.898084577700315093e-02
3.999999999999999819e-07 1.001909239719251721e+00 2.898084577700315093e-02
4.099999999999999920e-07 1.004669320269442778e+00 2.760080550190776791e-02
4.200000000000000022e-07 1.022609843845682764e+00 4.278124852795703315e-02
4.300000000000000123e-07 1.052970729897781288e+00 7.314213458005558444e-02
4.400000000000000224e-07 1.046070528522304199e+00 7.452217485515097439e-02
4.500000000000000326e-07 1.036410246596636497e+00 7.176209430496019448e-02
4.599999999999999898e-07 1.035030206321541080e+00 7.176209430496019448e-02
4.699999999999999999e-07 1.015709642470205898e+00 5.382157072872014586e-02
4.800000000000000630e-07 9.991491591690611074e-01 4.554132907814781306e-02
4.899999999999999672e-07 9.784485550426302858e-01 3.036088605209854088e-02
4.999999999999999774e-07 9.618880717414854953e-01 1.380040275095388395e-02
5.099999999999999875e-07 9.605080314663901886e-01 1.380040275095388222e-03
5.199999999999999976e-07 9.687882731169626949e-01 0.000000000000000000e+00
5.300000000000000078e-07 9.756884744924395614e-01 1.380040275095388222e-03
5.400000000000000179e-07 9.908689175184887121e-01 1.104032220076310578e-02
5.500000000000000281e-07 9.963890786188702720e-01 1.242036247585849573e-02
5.600000000000000382e-07 9.770685147675348681e-01 -1.104032220076310578e-02
5.700000000000000483e-07 9.867287966932026810e-01 -8.280241650572329332e-03
5.800000000000000585e-07 1.001909239719251721e+00 -2.760080550190776444e-03
5.899999999999999627e-07 1.000529199444156525e+00 2.760080550190776444e-03
5.999999999999999728e-07 1.010189481369824227e+00 8.280241650572329332e-03
6.099999999999999830e-07 1.018469723020396511e+00 1.380040275095388395e-02
6.199999999999999931e-07 1.033650166046445884e+00 2.208064440152621155e-02
6.300000000000000033e-07 1.047450568797399617e+00 3.450100687738470728e-02
6.400000000000000134e-07 1.046070528522304199e+00 4.692136935324320302e-02
6.500000000000000235e-07 1.036410246596636497e+00 4.554132907814781306e-02
6.600000000000000337e-07 1.028130004946064213e+00 4.416128880305242310e-02
6.700000000000000438e-07 1.019849763295492151e+00 3.450100687738470728e-02
6.800000000000000539e-07 1.010189481369824227e+00 2.484072495171699146e-02
6.900000000000000641e-07 9.977691188939658007e-01 2.208064440152621155e-02
6.999999999999999683e-07 9.963890786188702720e-01 2.208064440152621155e-02
7.099999999999999785e-07 9.922489577935842409e-01 1.518044302604927044e-02
7.199999999999999886e-07 9.977691188939658007e-01 1.518044302604927044e-02
7.299999999999999987e-07 1.006049360544537974e+00 1.656048330114465866e-02
7.400000000000000089e-07 1.010189481369824227e+00 2.484072495171699146e-02
7.500000000000000190e-07 1.011569521644919645e+00 2.622076522681237795e-02
7.600000000000000291e-07 1.018469723020396511e+00 3.174092632719393431e-02
7.700000000000000393e-07 1.014329602195110480e+00 3.036088605209854088e-02
7.800000000000000494e-07 1.015709642470205898e+00 2.898084577700315093e-02
7.900000000000000595e-07 1.010189481369824227e+00 2.898084577700315093e-02
7.999999999999999638e-07 1.006049360544537974e+00 2.898084577700315093e-02
8.099999999999999739e-07 1.000529199444156525e+00 2.484072495171699146e-02
8.199999999999999841e-07 1.003289279994347361e+00 2.346068467662160151e-02
8.299999999999999942e-07 1.004669320269442778e+00 2.208064440152621155e-02
8.400000000000000043e-07 9.977691188939658007e-01 1.380040275095388395e-02
8.500000000000000145e-07 9.660281925667717484e-01 -1.518044302604927044e-02
