#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 1.032270125771350466e+00 5.658165127891091883e-02
1.000000000000000021e-08 1.030890085496255049e+00 5.934173182910169181e-02
2.000000000000000042e-08 1.019849763295492151e+00 5.658165127891091883e-02
3.000000000000000394e-08 1.007429400819633392e+00 4.968144990343398293e-02
4.000000000000000084e-08 1.004669320269442778e+00 4.554132907814781306e-02
4.999999999999999774e-08 9.991491591690611074e-01 3.864112770267087021e-02
6.000000000000000787e-08 9.894888772433934054e-01 3.450100687738470728e-02
7.000000000000000477e-08 9.894888772433934054e-01 3.312096660228931733e-02
8.000000000000000167e-08 9.922489577935842409e-01 3.312096660228931733e-02
8.999999999999999857e-08 9.936289980686795476e-01 2.898084577700315093e-02
9.999999999999999547e-08 1.003289279994347361e+00 3.174092632719393431e-02
1.100000000000000056e-07 1.007429400819633392e+00 3.726108742757548720e-02
1.200000000000000157e-07 1.008809441094728809e+00 4.416128880305242310e-02
1.299999999999999994e-07 1.004669320269442778e+00 4.830140962833859297e-02
1.400000000000000095e-07 8.984062190870978348e-01 4.554132907814781306e-02
1.499999999999999932e-07 6.734596542465494107e-01 2.898084577700315093e-02
1.600000000000000033e-07 5.037147004098166958e-01 1.104032220076310578e-02
1.700000000000000135e-07 3.891713575768995237e-01 1.380040275095388222e-03
1.799999999999999971e-07 2.898084577700315578e-01 2.346068467662160151e-02
1.900000000000000073e-07 2.083860815394036337e-01 5.382157072872014586e-02
1.999999999999999909e-07 1.587046316359696507e-01 6.348185265438786862e-02
2.100000000000000011e-07 1.462842691601111689e-01 5.244153045362475590e-02
2.200000000000000112e-07 1.311038261340619071e-01 4.554132907814781306e-02
2.299999999999999949e-07 9.660281925667718594e-02 4.554132907814781306e-02
2.400000000000000315e-07 5.244153045362475590e-02 5.244153045362475590e-02
2.499999999999999887e-07 2.898084577700315093e-02 4.554132907814781306e-02
2.599999999999999988e-07 2.898084577700315093e-02 2.760080550190776791e-02
2.700000000000000090e-07 2.484072495171699146e-02 1.242036247585849573e-02
2.800000000000000191e-07 1.794052357624004862e-02 1.518044302604927044e-02
2.900000000000000292e-07 5.520161100381552888e-03 2.760080550190776791e-02
2.999999999999999864e-07 8.280241650572329332e-03 3.450100687738470728e-02
3.099999999999999966e-07 1.932056385133543511e-02 3.036088605209854088e-02
3.200000000000000067e-07 3.312096660228931733e-02 2.898084577700315093e-02
3.300000000000000168e-07 3.450100687738470728e-02 3.588104715248009724e-02
3.400000000000000270e-07 2.484072495171699146e-02 4.554132907814781306e-02
3.499999999999999842e-07 1.656048330114465866e-02 4.692136935324320302e-02
3.599999999999999943e-07 1.794052357624004862e-02 4.416128880305242310e-02
3.700000000000000044e-07 1.518044302604927044e-02 3.450100687738470728e-02
3.800000000000000146e-07 9.660281925667717554e-03 3.036088605209854088e-02
3.900000000000000247e-07 -2.760080550190776444e-03 3.312096660228931733e-02
3.999999999999999819e-07 -5.520161100381552888e-03 3.174092632719393431e-02
4.099999999999999920e-07 0.000000000000000000e+00 2.760080550190776791e-02
4.200000000000000022e-07 5.520161100381552888e-03 2.208064440152621155e-02
4.300000000000000123e-07 5.520161100381552888e-03 2.484072495171699146e-02
4.400000000000000224e-07 5.520161100381552888e-03 2.898084577700315093e-02
4.500000000000000326e-07 5.520161100381552888e-03 3.174092632719393431e-02
4.599999999999999898e-07 1.380040275095388395e-02 3.450100687738470728e-02
4.699999999999999999e-07 1.932056385133543511e-02 3.450100687738470728e-02
4.800000000000000630e-07 1.932056385133543511e-02 3.588104715248009724e-02
4.899999999999999672e-07 1.656048330114465866e-02 3.726108742757548720e-02
4.999999999999999774e-07 1.518044302604927044e-02 3.864112770267087021e-02
5.099999999999999875e-07 1.380040275095388395e-02 3.450100687738470728e-02
5.199999999999999976e-07 1.242036247585849573e-02 3.174092632719393431e-02
5.300000000000000078e-07 1.104032220076310578e-02 2.898084577700315093e-02
5.400000000000000179e-07 9.660281925667717554e-03 3.174092632719393431e-02
