#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 1.932056385133543511e-02 -2.070060412643082506e-02
1.000000000000000021e-08 1.656048330114465866e-02 -1.932056385133543511e-02
2.000000000000000042e-08 6.900201375476941977e-03 -1.104032220076310578e-02
3.000000000000000394e-08 2.760080550190776444e-03 -9.660281925667717554e-03
4.000000000000000084e-08 6.900201375476941977e-03 -1.380040275095388395e-02
4.999999999999999774e-08 1.380040275095388395e-02 -1.794052357624004862e-02
6.000000000000000787e-08 1.104032220076310578e-02 -1.518044302604927044e-02
7.000000000000000477e-08 6.900201375476941977e-03 -9.660281925667717554e-03
8.000000000000000167e-08 6.900201375476941977e-03 -5.520161100381552888e-03
8.999999999999999857e-08 1.242036247585849573e-02 -9.660281925667717554e-03
9.999999999999999547e-08 1.380040275095388395e-02 -1.518044302604927044e-02
1.100000000000000056e-07 1.380040275095388395e-02 -1.242036247585849573e-02
1.200000000000000157e-07 9.660281925667717554e-03 -8.280241650572329332e-03
1.299999999999999994e-07 6.900201375476941977e-03 -9.660281925667717554e-03
1.400000000000000095e-07 8.280241650572329332e-03 -1.518044302604927044e-02
1.499999999999999932e-07 9.660281925667717554e-03 -1.794052357624004862e-02
1.600000000000000033e-07 1.656048330114465866e-02 -8.280241650572329332e-03
1.700000000000000135e-07 5.106149017852936595e-02 2.898084577700315093e-02
1.799999999999999971e-07 4.416128880305242310e-02 2.898084577700315093e-02
1.900000000000000073e-07 3.864112770267087021e-02 1.518044302604927044e-02
1.999999999999999909e-07 3.726108742757548720e-02 8.280241650572329332e-03
2.100000000000000011e-07 2.484072495171699146e-02 -8.280241650572329332e-03
2.200000000000000112e-07 8.280241650572329332e-03 -1.794052357624004862e-02
2.299999999999999949e-07 -1.242036247585849573e-02 -2.760080550190776791e-02
2.400000000000000315e-07 -2.484072495171699146e-02 6.624193320457863465e-02
2.499999999999999887e-07 -1.104032220076310578e-02 3.022288202458900397e-01
2.599999999999999988e-07 9.660281925667717554e-03 4.719737740826227546e-01
2.700000000000000090e-07 1.794052357624004862e-02 5.934173182910169597e-01
2.800000000000000191e-07 0.000000000000000000e+00 7.038205402986480452e-01
2.900000000000000292e-07 -3.588104715248009724e-02 7.907630776296574737e-01
2.999999999999999864e-07 -7.176209430496019448e-02 8.100836414809928776e-01
3.099999999999999966e-07 -4.968144990343398293e-02 8.238840442319468327e-01
3.200000000000000067e-07 -1.656048330114465866e-02 8.528648900089499385e-01
3.300000000000000168e-07 -1.242036247585849573e-02 8.970261788120023061e-01
3.400000000000000270e-07 -8.280241650572329332e-03 9.522277898158180154e-01
3.499999999999999842e-07 1.656048330114465866e-02 9.867287966932026810e-01
3.599999999999999943e-07 4.830140962833859297e-02 9.936289980686795476e-01
3.700000000000000044e-07 7.314213458005558444e-02 1.007429400819633392e+00
3.800000000000000146e-07 6.624193320457863465e-02 1.021229803570587347e+00
3.900000000000000247e-07 4.278124852795703315e-02 1.028130004946064213e+00
3.999999999999999819e-07 2.760080550190776791e-02 1.015709642470205898e+00
4.099999999999999920e-07 2.070060412643082506e-02 9.908689175184887121e-01
4.200000000000000022e-07 1.104032220076310578e-02 9.660281925667717484e-01
4.300000000000000123e-07 0.000000000000000000e+00 9.674082328418671661e-01
4.400000000000000224e-07 -1.656048330114465866e-02 9.729283939422487260e-01
4.500000000000000326e-07 -2.208064440152621155e-02 9.701683133920580016e-01
4.599999999999999898e-07 -1.104032220076310578e-02 9.674082328418671661e-01
4.699999999999999999e-07 5.520161100381552888e-03 9.729283939422487260e-01
4.800000000000000630e-07 8.280241650572329332e-03 9.839687161430118456e-01
4.899999999999999672e-07 8.280241650572329332e-03 1.000529199444156525e+00
4.999999999999999774e-07 1.380040275095388395e-02 1.006049360544537974e+00
5.099999999999999875e-07 1.932056385133543511e-02 9.991491591690611074e-01
5.199999999999999976e-07 2.622076522681237795e-02 9.936289980686795476e-01
5.300000000000000078e-07 1.932056385133543511e-02 9.977691188939658007e-01
5.400000000000000179e-07 9.660281925667717554e-03 9.963890786188702720e-01
5.500000000000000281e-07 4.140120825286164666e-03 9.922489577935842409e-01
5.600000000000000382e-07 5.520161100381552888e-03 9.839687161430118456e-01
5.700000000000000483e-07 -5.520161100381552888e-03 9.715483536671533082e-01
5.800000000000000585e-07 -3.726108742757548720e-02 9.411874676150548957e-01
5.899999999999999627e-07 -4.140120825286165013e-02 9.384273870648639493e-01
