#time[sec] output_ch0 output_ch1
7.099999999999999785e-07 1.656048330114465866e-02 7.590221513024635047e-02
7.199999999999999886e-07 1.380040275095388395e-02 8.142237623062791030e-02
7.299999999999999987e-07 1.104032220076310578e-02 7.728225540534174043e-02
7.400000000000000089e-07 6.900201375476941977e-03 7.452217485515097439e-02
7.500000000000000190e-07 8.280241650572329332e-03 7.038205402986480452e-02
7.600000000000000291e-07 6.900201375476941977e-03 6.900201375476941457e-02
7.700000000000000393e-07 4.140120825286164666e-03 6.900201375476941457e-02
7.800000000000000494e-07 5.520161100381552888e-03 7.176209430496019448e-02
7.900000000000000595e-07 5.520161100381552888e-03 7.176209430496019448e-02
7.999999999999999638e-07 1.104032220076310578e-02 7.176209430496019448e-02
8.099999999999999739e-07 9.660281925667717554e-03 7.452217485515097439e-02
8.199999999999999841e-07 9.660281925667717554e-03 7.452217485515097439e-02
8.299999999999999942e-07 6.900201375476941977e-03 7.452217485515097439e-02
8.400000000000000043e-07 6.900201375476941977e-03 7.452217485515097439e-02
8.500000000000000145e-07 1.794052357624004862e-02 8.004233595553252034e-02
8.600000000000000246e-07 7.452217485515097439e-02 1.145433428329172415e-01
8.700000000000000347e-07 2.194264037401667533e-01 1.214435442083941635e-01
8.800000000000000449e-07 4.278124852795703870e-01 1.352439469593480492e-01
8.900000000000000550e-07 5.658165127891091606e-01 1.518044302604927009e-01
9.000000000000000652e-07 6.582792112205001489e-01 1.366239872344434392e-01
9.099999999999999694e-07 7.383215471760327109e-01 9.936289980686796586e-02
9.199999999999999795e-07 7.949031984549437269e-01 5.520161100381553582e-02
9.299999999999999897e-07 8.169838428564698551e-01 3.312096660228931733e-02
9.399999999999999998e-07 8.294042053323283925e-01 3.864112770267087021e-02
9.500000000000000100e-07 8.570050108342360806e-01 4.416128880305242310e-02
9.600000000000001260e-07 9.039263801874793947e-01 4.416128880305242310e-02
9.700000000000000302e-07 9.549878703660086288e-01 4.692136935324320302e-02
9.799999999999999345e-07 9.894888772433934054e-01 7.038205402986480452e-02
9.900000000000000505e-07 9.825886758679164279e-01 7.866229568043713039e-02
9.999999999999999547e-07 9.632681120165811350e-01 6.348185265438786862e-02
1.010000000000000071e-06 9.867287966932026810e-01 6.348185265438786862e-02
1.019999999999999975e-06 9.963890786188702720e-01 4.968144990343398293e-02
1.030000000000000091e-06 9.950090383437749653e-01 4.968144990343398293e-02
1.039999999999999995e-06 9.922489577935842409e-01 6.348185265438786862e-02
1.050000000000000111e-06 9.922489577935842409e-01 6.624193320457863465e-02
1.060000000000000016e-06 1.014329602195110480e+00 7.452217485515097439e-02
1.069999999999999920e-06 1.036410246596636497e+00 8.418245678081867633e-02
1.080000000000000036e-06 1.039170327146827333e+00 8.970261788120023616e-02
1.089999999999999940e-06 1.030890085496255049e+00 9.522277898158179599e-02
1.100000000000000056e-06 1.023989884120777960e+00 9.936289980686796586e-02
1.109999999999999960e-06 1.021229803570587347e+00 9.108265815629562612e-02
1.120000000000000076e-06 1.018469723020396511e+00 8.280241650572330026e-02
1.129999999999999981e-06 1.010189481369824227e+00 8.142237623062791030e-02
1.140000000000000097e-06 9.950090383437749653e-01 7.866229568043713039e-02
1.150000000000000001e-06 9.867287966932026810e-01 7.452217485515097439e-02
1.160000000000000117e-06 9.922489577935842409e-01 7.590221513024635047e-02
1.170000000000000021e-06 9.950090383437749653e-01 7.176209430496019448e-02
1.179999999999999925e-06 9.991491591690611074e-01 7.728225540534174043e-02
1.190000000000000041e-06 9.977691188939658007e-01 8.142237623062791030e-02
1.199999999999999946e-06 9.977691188939658007e-01 8.280241650572330026e-02
1.210000000000000062e-06 1.004669320269442778e+00 8.142237623062791030e-02
1.219999999999999966e-06 1.012949561920014840e+00 8.280241650572330026e-02
1.230000000000000082e-06 1.012949561920014840e+00 8.280241650572330026e-02
1.239999999999999986e-06 1.010189481369824227e+00 8.694253733100945625e-02
1.250000000000000102e-06 1.010189481369824227e+00 8.556249705591406629e-02
1.260000000000000007e-06 1.008809441094728809e+00 8.280241650572330026e-02
1.270000000000000123e-06 1.007429400819633392e+00 8.142237623062791030e-02
1.280000000000000027e-06 9.894888772433934054e-01 6.624193320457863465e-02
1.289999999999999931e-06 9.618880717414854953e-01 3.588104715248009724e-02
1.300000000000000047e-06 9.687882731169626949e-01 3.588104715248009724e-02
1.309999999999999951e-06 9.770685147675348681e-01 3.588104715248009724e-02
1.320000000000000067e-06 9.881088369682979877e-01 4.140120825286165013e-02
1.329999999999999972e-06 1.000529199444156525e+00 5.520161100381553582e-02
1.340000000000000088e-06 1.021229803570587347e+00 7.038205402986480452e-02
1.349999999999999992e-06 1.036410246596636497e+00 8.418245678081867633e-02
1.360000000000000108e-06 1.032270125771350466e+00 1.007429400819633558e-01
1.370000000000000012e-06 8.804656955108577376e-01 1.007429400819633558e-01
1.380000000000000128e-06 6.651794125959772375e-01 1.021229803570587319e-01
1.390000000000000032e-06 5.382157072872013615e-01 1.090231817325356817e-01
1.399999999999999937e-06 4.098719617033302898e-01 9.936289980686796586e-02
1.410000000000000053e-06 2.980886994206038976e-01 1.159233831080126037e-01
1.419999999999999957e-06 2.028659204390221016e-01 1.352439469593480492e-01
1.430000000000000073e-06 1.449042288850157789e-01 1.186834636582033836e-01
1.439999999999999977e-06 1.117832622827264477e-01 9.108265815629562612e-02
1.450000000000000093e-06 7.866229568043713039e-02 7.038205402986480452e-02
1.459999999999999997e-06 3.174092632719393431e-02 6.486189292948325857e-02
1.470000000000000113e-06 -4.140120825286164666e-03 6.348185265438786862e-02
1.480000000000000018e-06 -9.660281925667717554e-03 6.072177210419708177e-02
1.490000000000000134e-06 6.900201375476941977e-03 4.692136935324320302e-02
1.500000000000000038e-06 2.484072495171699146e-02 4.968144990343398293e-02
1.509999999999999942e-06 2.760080550190776791e-02 6.486189292948325857e-02
1.520000000000000058e-06 2.760080550190776791e-02 8.142237623062791030e-02
1.529999999999999963e-06 3.450100687738470728e-02 8.970261788120023616e-02
1.540000000000000079e-06 5.106149017852936595e-02 9.108265815629562612e-02
1.549999999999999983e-06 4.830140962833859297e-02 8.418245678081867633e-02
1.560000000000000099e-06 3.312096660228931733e-02 8.556249705591406629e-02
1.570000000000000003e-06 1.380040275095388395e-02 8.832257760610484620e-02
1.580000000000000119e-06 6.900201375476941977e-03 8.280241650572330026e-02
1.590000000000000023e-06 2.760080550190776444e-03 7.176209430496019448e-02
1.599999999999999928e-06 2.760080550190776444e-03 6.486189292948325857e-02
1.610000000000000044e-06 -5.520161100381552888e-03 6.486189292948325857e-02
1.619999999999999948e-06 -6.900201375476941977e-03 6.762197347967402461e-02
1.630000000000000064e-06 -5.520161100381552888e-03 6.762197347967402461e-02
1.639999999999999968e-06 4.140120825286164666e-03 6.624193320457863465e-02
1.650000000000000084e-06 9.660281925667717554e-03 6.624193320457863465e-02
1.659999999999999988e-06 1.656048330114465866e-02 7.452217485515097439e-02
1.670000000000000104e-06 1.518044302604927044e-02 7.866229568043713039e-02
1.680000000000000009e-06 1.518044302604927044e-02 8.142237623062791030e-02
1.690000000000000125e-06 1.794052357624004862e-02 7.728225540534174043e-02
1.700000000000000029e-06 1.794052357624004862e-02 7.590221513024635047e-02
1.709999999999999933e-06 1.656048330114465866e-02 7.728225540534174043e-02
1.720000000000000049e-06 1.242036247585849573e-02 7.728225540534174043e-02
1.729999999999999953e-06 1.104032220076310578e-02 7.590221513024635047e-02
1.740000000000000069e-06 1.104032220076310578e-02 7.176209430496019448e-02
1.749999999999999974e-06 9.660281925667717554e-03 7.176209430496019448e-02
1.760000000000000090e-06 6.900201375476941977e-03 7.038205402986480452e-02
1.769999999999999994e-06 5.520161100381552888e-03 7.452217485515097439e-02
1.780000000000000110e-06 4.140120825286164666e-03 7.176209430496019448e-02
1.790000000000000014e-06 8.280241650572329332e-03 7.176209430496019448e-02
1.800000000000000130e-06 1.242036247585849573e-02 7.590221513024635047e-02
1.810000000000000035e-06 1.242036247585849573e-02 7.590221513024635047e-02
1.819999999999999939e-06 1.380040275095388395e-02 7.590221513024635047e-02
1.830000000000000055e-06 1.242036247585849573e-02 8.004233595553252034e-02
1.839999999999999959e-06 1.380040275095388395e-02 7.728225540534174043e-02
1.850000000000000075e-06 1.380040275095388395e-02 7.866229568043713039e-02
1.859999999999999979e-06 3.450100687738470728e-02 7.866229568043713039e-02
1.870000000000000095e-06 1.807852760374958623e-01 8.418245678081867633e-02
1.880000000000000000e-06 3.988316395025672256e-01 9.660281925667718594e-02
1.890000000000000116e-06 5.423558281124876146e-01 1.159233831080126037e-01
1.900000000000000020e-06 6.472388890197370293e-01 1.131633025578218377e-01
1.909999999999999924e-06 7.424616680013188530e-01 8.142237623062791030e-02
1.920000000000000252e-06 8.183638831315652729e-01 5.244153045362475590e-02
1.930000000000000156e-06 8.583850511093314983e-01 4.692136935324320302e-02
1.940000000000000060e-06 8.708054135851900357e-01 6.486189292948325857e-02
1.949999999999999965e-06 8.901259774365254396e-01 7.038205402986480452e-02
1.959999999999999869e-06 9.329072259644823895e-01 6.900201375476941457e-02
1.970000000000000197e-06 9.729283939422487260e-01 6.624193320457863465e-02
1.980000000000000101e-06 9.922489577935842409e-01 7.866229568043713039e-02
1.990000000000000005e-06 9.936289980686795476e-01 9.660281925667718594e-02
1.999999999999999909e-06 1.794052357624004862e-02 5.382157072872014586e-02
