#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 -1.242036247585849573e-02 2.898084577700315093e-02
1.000000000000000021e-08 -1.104032220076310578e-02 3.312096660228931733e-02
2.000000000000000042e-08 -1.380040275095388395e-02 3.312096660228931733e-02
3.000000000000000394e-08 -8.280241650572329332e-03 3.450100687738470728e-02
4.000000000000000084e-08 -1.380040275095388395e-02 3.036088605209854088e-02
4.999999999999999774e-08 -8.280241650572329332e-03 3.450100687738470728e-02
6.000000000000000787e-08 -1.518044302604927044e-02 3.312096660228931733e-02
7.000000000000000477e-08 -8.280241650572329332e-03 3.174092632719393431e-02
8.000000000000000167e-08 -1.380040275095388395e-02 3.312096660228931733e-02
8.999999999999999857e-08 -6.900201375476941977e-03 3.450100687738470728e-02
9.999999999999999547e-08 -1.242036247585849573e-02 3.312096660228931733e-02
1.100000000000000056e-07 -1.242036247585849573e-02 3.036088605209854088e-02
1.200000000000000157e-07 -1.242036247585849573e-02 3.312096660228931733e-02
1.299999999999999994e-07 -9.660281925667717554e-03 3.312096660228931733e-02
1.400000000000000095e-07 -1.380040275095388395e-02 3.450100687738470728e-02
1.499999999999999932e-07 -9.660281925667717554e-03 2.898084577700315093e-02
1.600000000000000033e-07 -1.104032220076310578e-02 3.312096660228931733e-02
1.700000000000000135e-07 -9.660281925667717554e-03 2.760080550190776791e-02
1.799999999999999971e-07 -9.660281925667717554e-03 3.450100687738470728e-02
1.900000000000000073e-07 -1.518044302604927044e-02 3.036088605209854088e-02
1.999999999999999909e-07 -1.104032220076310578e-02 2.898084577700315093e-02
2.100000000000000011e-07 -6.900201375476941977e-03 3.312096660228931733e-02
2.200000000000000112e-07 -1.104032220076310578e-02 3.036088605209854088e-02
2.299999999999999949e-07 -8.280241650572329332e-03 3.450100687738470728e-02
2.400000000000000315e-07 -9.660281925667717554e-03 2.760080550190776791e-02
2.499999999999999887e-07 -5.520161100381552888e-03 3.174092632719393431e-02
2.599999999999999988e-07 -8.280241650572329332e-03 3.036088605209854088e-02
2.700000000000000090e-07 -6.900201375476941977e-03 3.174092632719393431e-02
2.800000000000000191e-07 -1.104032220076310578e-02 3.036088605209854088e-02
2.900000000000000292e-07 -8.280241650572329332e-03 3.312096660228931733e-02
2.999999999999999864e-07 -1.104032220076310578e-02 2.898084577700315093e-02
3.099999999999999966e-07 -9.660281925667717554e-03 3.174092632719393431e-02
3.200000000000000067e-07 -1.242036247585849573e-02 3.450100687738470728e-02
3.300000000000000168e-07 -9.660281925667717554e-03 3.174092632719393431e-02
3.400000000000000270e-07 -6.900201375476941977e-03 3.312096660228931733e-02
3.499999999999999842e-07 -9.660281925667717554e-03 3.312096660228931733e-02
3.599999999999999943e-07 -1.794052357624004862e-02 3.312096660228931733e-02
3.700000000000000044e-07 4.140120825286164666e-03 3.450100687738470728e-02
3.800000000000000146e-07 -2.484072495171699146e-02 3.312096660228931733e-02
3.900000000000000247e-07 -9.660281925667717554e-03 2.898084577700315093e-02
3.999999999999999819e-07 2.070060412643082506e-02 3.726108742757548720e-02
4.099999999999999920e-07 -8.970261788120023616e-02 2.760080550190776791e-02
4.200000000000000022e-07 2.042459607141174638e-01 3.450100687738470728e-02
4.300000000000000123e-07 8.390644872579960944e-01 4.968144990343398293e-02
4.400000000000000224e-07 1.021229803570587347e+00 2.898084577700315093e-02
4.500000000000000326e-07 9.218669037637192698e-01 2.622076522681237795e-02
4.599999999999999898e-07 9.825886758679164279e-01 3.864112770267087021e-02
4.699999999999999999e-07 9.770685147675348681e-01 3.036088605209854088e-02
4.800000000000000630e-07 9.618880717414854953e-01 2.760080550190776791e-02
4.899999999999999672e-07 9.853487564181073743e-01 3.174092632719393431e-02
4.999999999999999774e-07 9.715483536671533082e-01 3.174092632719393431e-02
5.099999999999999875e-07 9.770685147675348681e-01 3.450100687738470728e-02
5.199999999999999976e-07 9.798285953177258145e-01 3.450100687738470728e-02
5.300000000000000078e-07 9.770685147675348681e-01 3.312096660228931733e-02
5.400000000000000179e-07 9.743084342173442547e-01 2.898084577700315093e-02
5.500000000000000281e-07 9.798285953177258145e-01 3.174092632719393431e-02
5.600000000000000382e-07 9.770685147675348681e-01 3.312096660228931733e-02
5.700000000000000483e-07 9.770685147675348681e-01 3.450100687738470728e-02
5.800000000000000585e-07 9.812086355928211212e-01 3.036088605209854088e-02
5.899999999999999627e-07 9.798285953177258145e-01 3.174092632719393431e-02
5.999999999999999728e-07 9.812086355928211212e-01 3.174092632719393431e-02
6.099999999999999830e-07 9.825886758679164279e-01 3.312096660228931733e-02
6.199999999999999931e-07 9.798285953177258145e-01 2.898084577700315093e-02
6.300000000000000033e-07 9.867287966932026810e-01 3.312096660228931733e-02
6.400000000000000134e-07 9.812086355928211212e-01 3.174092632719393431e-02
6.500000000000000235e-07 9.853487564181073743e-01 3.036088605209854088e-02
6.600000000000000337e-07 9.812086355928211212e-01 3.036088605209854088e-02
6.700000000000000438e-07 9.853487564181073743e-01 3.036088605209854088e-02
6.800000000000000539e-07 9.812086355928211212e-01 3.312096660228931733e-02
6.900000000000000641e-07 9.894888772433934054e-01 3.036088605209854088e-02
6.999999999999999683e-07 9.867287966932026810e-01 3.174092632719393431e-02
7.099999999999999785e-07 9.867287966932026810e-01 3.312096660228931733e-02
7.199999999999999886e-07 9.825886758679164279e-01 3.312096660228931733e-02
7.299999999999999987e-07 9.867287966932026810e-01 3.174092632719393431e-02
7.400000000000000089e-07 9.853487564181073743e-01 3.312096660228931733e-02
7.500000000000000190e-07 9.908689175184887121e-01 2.898084577700315093e-02
7.600000000000000291e-07 9.853487564181073743e-01 3.036088605209854088e-02
7.700000000000000393e-07 9.867287966932026810e-01 3.036088605209854088e-02
7.800000000000000494e-07 9.881088369682979877e-01 3.036088605209854088e-02
7.900000000000000595e-07 9.812086355928211212e-01 2.484072495171699146e-02
7.999999999999999638e-07 9.950090383437749653e-01 3.588104715248009724e-02
8.099999999999999739e-07 9.908689175184887121e-01 2.898084577700315093e-02
8.199999999999999841e-07 9.963890786188702720e-01 4.002116797776626017e-02
8.299999999999999942e-07 9.894888772433934054e-01 3.036088605209854088e-02
8.400000000000000043e-07 9.922489577935842409e-01 3.588104715248009724e-02
8.500000000000000145e-07 9.881088369682979877e-01 2.760080550190776791e-02
8.600000000000000246e-07 9.950090383437749653e-01 3.450100687738470728e-02
8.700000000000000347e-07 9.922489577935842409e-01 3.174092632719393431e-02
8.800000000000000449e-07 9.936289980686795476e-01 3.312096660228931733e-02
8.900000000000000550e-07 9.894888772433934054e-01 2.898084577700315093e-02
9.000000000000000652e-07 9.936289980686795476e-01 3.312096660228931733e-02
9.099999999999999694e-07 9.894888772433934054e-01 3.312096660228931733e-02
9.199999999999999795e-07 1.003289279994347361e+00 3.726108742757548720e-02
9.299999999999999897e-07 9.922489577935842409e-01 3.588104715248009724e-02
9.399999999999999998e-07 9.908689175184887121e-01 2.760080550190776791e-02
9.500000000000000100e-07 9.881088369682979877e-01 3.312096660228931733e-02
9.600000000000001260e-07 9.963890786188702720e-01 2.760080550190776791e-02
9.700000000000000302e-07 9.908689175184887121e-01 3.450100687738470728e-02
9.799999999999999345e-07 9.963890786188702720e-01 2.622076522681237795e-02
9.900000000000000505e-07 9.867287966932026810e-01 3.174092632719393431e-02
9.999999999999999547e-07 9.936289980686795476e-01 3.036088605209854088e-02
1.010000000000000071e-06 9.922489577935842409e-01 3.726108742757548720e-02
1.019999999999999975e-06 1.001909239719251721e+00 3.450100687738470728e-02
1.030000000000000091e-06 9.936289980686795476e-01 3.450100687738470728e-02
1.039999999999999995e-06 9.963890786188702720e-01 3.312096660228931733e-02
1.050000000000000111e-06 9.894888772433934054e-01 3.312096660228931733e-02
1.060000000000000016e-06 9.936289980686795476e-01 3.036088605209854088e-02
1.069999999999999920e-06 9.922489577935842409e-01 3.174092632719393431e-02
1.080000000000000036e-06 9.950090383437749653e-01 2.622076522681237795e-02
1.089999999999999940e-06 9.950090383437749653e-01 3.036088605209854088e-02
1.100000000000000056e-06 9.936289980686795476e-01 3.174092632719393431e-02
1.109999999999999960e-06 9.922489577935842409e-01 3.174092632719393431e-02
1.120000000000000076e-06 9.950090383437749653e-01 3.174092632719393431e-02
1.129999999999999981e-06 9.977691188939658007e-01 3.174092632719393431e-02
1.140000000000000097e-06 9.977691188939658007e-01 2.760080550190776791e-02
1.150000000000000001e-06 9.963890786188702720e-01 3.174092632719393431e-02
1.160000000000000117e-06 9.936289980686795476e-01 2.760080550190776791e-02
1.170000000000000021e-06 9.963890786188702720e-01 3.036088605209854088e-02
1.179999999999999925e-06 9.922489577935842409e-01 3.312096660228931733e-02
1.190000000000000041e-06 9.963890786188702720e-01 3.450100687738470728e-02
1.199999999999999946e-06 9.950090383437749653e-01 2.898084577700315093e-02
1.210000000000000062e-06 9.963890786188702720e-01 3.036088605209854088e-02
1.219999999999999966e-06 9.950090383437749653e-01 3.450100687738470728e-02
1.230000000000000082e-06 9.977691188939658007e-01 3.174092632719393431e-02
1.239999999999999986e-06 1.003289279994347361e+00 4.278124852795703315e-02
1.250000000000000102e-06 9.963890786188702720e-01 3.174092632719393431e-02
1.260000000000000007e-06 9.922489577935842409e-01 2.760080550190776791e-02
1.270000000000000123e-06 9.936289980686795476e-01 2.898084577700315093e-02
1.280000000000000027e-06 9.950090383437749653e-01 2.760080550190776791e-02
1.289999999999999931e-06 9.881088369682979877e-01 3.036088605209854088e-02
