#time[sec] output_ch0 output_ch1
3.599999999999999943e-07 7.507419096518912482e-01 6.817398958971218059e-01
3.700000000000000044e-07 7.604021915775589502e-01 6.969203389231711787e-01
3.800000000000000146e-07 7.673023929530359277e-01 7.038205402986480452e-01
3.900000000000000247e-07 7.755826346036082120e-01 7.121007819492203295e-01
3.999999999999999819e-07 7.866229568043713316e-01 7.190009833246973070e-01
4.099999999999999920e-07 7.976632790051344513e-01 7.300413055254604267e-01
4.200000000000000022e-07 8.100836414809928776e-01 7.397015874511281286e-01
4.300000000000000123e-07 8.169838428564698551e-01 7.479818291017004128e-01
4.400000000000000224e-07 8.294042053323283925e-01 7.576421110273682258e-01
4.500000000000000326e-07 8.376844469829006767e-01 7.686824332281313454e-01
4.599999999999999898e-07 8.473447289085683787e-01 7.783427151537990474e-01
4.699999999999999999e-07 8.597650913844269160e-01 7.852429165292759139e-01
4.800000000000000630e-07 8.611451316595223338e-01 7.949031984549437269e-01
4.899999999999999672e-07 8.777056149606670132e-01 8.031834401055160111e-01
4.999999999999999774e-07 8.873658968863347152e-01 8.128437220311837130e-01
5.099999999999999875e-07 8.873658968863347152e-01 8.225040039568514150e-01
5.199999999999999976e-07 9.315271856893870828e-01 8.349243664327099523e-01
5.300000000000000078e-07 9.025463399123838659e-01 8.404445275330915122e-01
5.400000000000000179e-07 9.329072259644823895e-01 8.556249705591407739e-01
5.500000000000000281e-07 9.853487564181073743e-01 8.694253733100946180e-01
5.600000000000000382e-07 6.085977613170662215e-01 8.666652927599038936e-01
5.700000000000000483e-07 1.462842691601111689e-01 9.163467426633379320e-01
5.800000000000000585e-07 7.866229568043713039e-02 9.177267829384332387e-01
5.899999999999999627e-07 9.660281925667718594e-02 8.873658968863347152e-01
5.999999999999999728e-07 4.140120825286165013e-02 1.010189481369824227e+00
6.099999999999999830e-07 5.796169155400630185e-02 7.590221513024635325e-01
6.199999999999999931e-07 6.486189292948325857e-02 1.324838664091572693e-01
6.300000000000000033e-07 6.900201375476941457e-02 -3.312096660228931733e-02
6.400000000000000134e-07 8.694253733100945625e-02 6.624193320457863465e-02
